 mikebur,Edit ,"Redmond, WA",WA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,11:06 AM,In-Store,4 Jan 2018,4 Jan 2018,53xx,5355,14 Jan 2018,24 Jan 2018,Red Multi-Coat,18 inch Aero,Enhanced Autopilot,,,,RWD,Black,PUP,LR,,10 Feb 2018,,,24 Jan 2018,Delivered,20 days,10 days,10 days
 mikebur (2) (see col AC),Edit ,"Redmond, WA",WA,USA,Owner or previous owner,31 Mar 2016,Pacific Time,11:04 AM,In-Store,4 Jan 2018,,,,,,,19 inch Sport,Enhanced Autopilot,,,,,Black,PUP,LR,AWD,10 Feb 2018,Reservation date was autocorrected from 31 Mar 2018 to 31 Mar 2016.  Click 'Edit' next to your username to make changes. Thanks.,,,.Deferring,,,
 qbpds75,Edit ,Bellevue,WA,USA,Non-owner,31 Mar 2016,Pacific Time,1:30 PM,In-Store,10 Apr 2018,10 Apr 2018,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,12 Apr 2018,,,,Configured,,,
 Rountad,Edit ,Cypress,TX,USA,Non-owner,31 Mar 2016,Central Time,10:40 AM,In-Store,22 Mar 2018,23 Mar 2018,,,,,Deep Blue Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Late 2018,RWD,Black,PUP,LR,,28 Mar 2018,,,,Configured,,,
_gosh,Edit ,Miami,FL,USA,Non-owner,1 Apr 2016,Pacific Time,9:00 AM,Online,,,,,,,,,,Jun 2018 - Aug 2018,Early 2019,Late 2018,,,,,,8 Feb 2018,,,, Not yet invited,,,
_y2b_,Edit ,Mississauga,ON,Canada,Non-owner,31 Mar 2016,Eastern Time,7:30 PM,Online,27 Mar 2018,,,,,,,,,,,,,,,,Waiting for SR,28 Mar 2018,,,,.Deferring,,,
-Beau,Edit ,Kansas City,MO,USA,Non-owner,31 Mar 2016,Pacific Time,12:00 PM,In-Store,22 Mar 2018,22 Mar 2018,,,,,Midnight Silver Metallic,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Jul 2018 - Sep 2018,RWD,Black,PUP,LR,,24 Mar 2018,,,,Configured,,,
-Makin,Edit ,Los Angeles,CA,USA,Non-owner,31 Mar 2016,Pacific Time,1:15 PM,In-Store,22 Mar 2018,22 Mar 2018,,,,,Pearl White Multi-Coat,18 inch Aero,Enhanced Autopilot,Mar 2018 - May 2018,Late 2018,Mid 2018,RWD,Black,PUP,LR,,26 Mar 2018,,,,Configured,,,
( ͡° ͜ʖ ͡°) - lighthouse,Edit ,"Mukilteo, WA",WA,USA,Non-owner,31 Mar 2016,Pacific Time,8:30 AM,In-Store,22 Feb 2018,22 Feb 2018,,,,13 Mar 2018,Solid Black,19 inch Sport,Full Self-Driving,Feb 2018 - Apr 2018,Late 2018,Mid 2018,RWD,Black,,LR,,14 Mar 2018,,,13 Mar 2018,Delivered,19 days,,
/u/guildymaster,Edit ,,IA,USA,Non-owner,27 Feb 2018,Central Time,1:00 PM,Online,,,,,,,Solid Black,19 inch Sport,Enhanced Autopilot,,,Late 2018,AWD,Black,PUP,LR,,8 Apr 2018,,,, Not yet invited,,,
